freq,fx,gx,gy,hc,hs,l,lalti,lbes,lk,ls,luc,ol,ox,wfx,wiki,wk,wx,wy,real,ima,mag,db
869.0,2.0,116.0,116.0,0.2,1.6,10.0,25.0,24.0,30.0,9.0,20.0,58.0,28.0,3.0,8.0,34.0,100.0,100.0,-0.1312582641839981,0.018013939261436462,0.13248861809344592,-17.556428594774587
869.0,2.0,116.0,116.0,0.2,1.6,10.0,25.0,24.0,30.0,3.0,20.0,58.0,28.0,3.0,2.0,34.0,102.0,100.0,-0.717921257019043,0.04491834342479706,0.7193250926082245,-2.8614957940895684
869.0,2.0,116.0,116.0,0.2,1.6,10.0,25.0,24.0,30.0,5.0,20.0,58.0,28.0,3.0,2.0,34.0,102.0,100.0,-0.6771629452705383,0.2067137509584427,0.7080114612651262,-2.9991942381845242
869.0,2.0,116.0,116.0,0.2,1.6,10.0,25.0,24.0,30.0,7.0,20.0,58.0,28.0,3.0,2.0,34.0,102.0,100.0,-0.6125432848930359,0.2798841893672943,0.6734570775671886,-3.433801571789284
869.0,2.0,116.0,116.0,0.2,1.6,10.0,25.0,24.0,30.0,9.0,20.0,58.0,28.0,3.0,2.0,34.0,102.0,100.0,-0.5466268658638,0.3193984031677246,0.6331005215841898,-3.9705465736381127
869.0,2.0,116.0,116.0,0.2,1.6,10.0,25.0,24.0,30.0,3.0,20.0,58.0,28.0,3.0,4.0,34.0,102.0,100.0,-0.6915117502212524,0.10721872746944427,0.6997745038326466,-3.1008377002376526
869.0,2.0,116.0,116.0,0.2,1.6,10.0,25.0,24.0,30.0,5.0,20.0,58.0,28.0,3.0,4.0,34.0,102.0,100.0,-0.637332558631897,0.26185306906700134,0.6890281707391129,-3.235260434229359
869.0,2.0,116.0,116.0,0.2,1.6,10.0,25.0,24.0,30.0,7.0,20.0,58.0,28.0,3.0,4.0,34.0,102.0,100.0,-0.5661447644233704,0.3318732976913452,0.6562467371381908,-3.658656857895786
869.0,2.0,116.0,116.0,0.2,1.6,10.0,25.0,24.0,30.0,9.0,20.0,58.0,28.0,3.0,4.0,34.0,102.0,100.0,-0.49634960293769836,0.3671703040599823,0.6173953032862419,-4.188733573030095
869.0,2.0,116.0,116.0,0.2,1.6,10.0,25.0,24.0,30.0,3.0,20.0,58.0,28.0,3.0,6.0,34.0,102.0,100.0,-0.6591464281082153,0.16340762376785278,0.6790994516219806,-3.3613324045848083
869.0,2.0,116.0,116.0,0.2,1.6,10.0,25.0,24.0,30.0,5.0,20.0,58.0,28.0,3.0,6.0,34.0,102.0,100.0,-0.5918769240379333,0.31661251187324524,0.6712389856700007,-3.4624565510466017
869.0,2.0,116.0,116.0,0.2,1.6,10.0,25.0,24.0,30.0,7.0,20.0,58.0,28.0,3.0,6.0,34.0,102.0,100.0,-0.5144950747489929,0.38251563906669617,0.6411110637569553,-3.8613345672345867
869.0,2.0,116.0,116.0,0.2,1.6,10.0,25.0,24.0,30.0,9.0,20.0,58.0,28.0,3.0,6.0,34.0,102.0,100.0,-0.4413904547691345,0.41306447982788086,0.6045227853909074,-4.37174650539265
869.0,2.0,116.0,116.0,0.2,1.6,10.0,25.0,24.0,30.0,3.0,20.0,58.0,28.0,3.0,8.0,34.0,102.0,100.0,-0.6216345429420471,0.22085388004779816,0.6597014031445856,-3.613051844014628
869.0,2.0,116.0,116.0,0.2,1.6,10.0,25.0,24.0,30.0,5.0,20.0,58.0,28.0,3.0,8.0,34.0,102.0,100.0,-0.5412160158157349,0.37062546610832214,0.6559558002666558,-3.6625084669685797
869.0,2.0,116.0,116.0,0.2,1.6,10.0,25.0,24.0,30.0,7.0,20.0,58.0,28.0,3.0,8.0,34.0,102.0,100.0,-0.45778799057006836,0.43098485469818115,0.6287430232530563,-4.030536419778295
869.0,2.0,116.0,116.0,0.2,1.6,10.0,25.0,24.0,30.0,9.0,20.0,58.0,28.0,3.0,8.0,34.0,102.0,100.0,-0.3816949129104614,0.4563415050506592,0.5949273701668344,-4.510721010171354
869.0,2.0,116.0,116.0,0.2,1.6,10.0,25.0,24.0,30.0,3.0,20.0,58.0,28.0,3.0,2.0,34.0,104.0,100.0,-0.5204436182975769,-0.19986584782600403,0.557501495023898,-5.075079273048639
869.0,2.0,116.0,116.0,0.2,1.6,10.0,25.0,24.0,30.0,5.0,20.0,58.0,28.0,3.0,2.0,34.0,104.0,100.0,-0.645868182182312,-0.14735832810401917,0.6624652335157641,-3.57673817539895
869.0,2.0,116.0,116.0,0.2,1.6,10.0,25.0,24.0,30.0,7.0,20.0,58.0,28.0,3.0,2.0,34.0,104.0,100.0,-0.7095919251441956,-0.0598771832883358,0.7121137390251578,-2.9490127034987585
869.0,2.0,116.0,116.0,0.2,1.6,10.0,25.0,24.0,30.0,9.0,20.0,58.0,28.0,3.0,2.0,34.0,104.0,100.0,-0.7308066487312317,0.03243672847747803,0.7315261438828387,-2.7154029617602
869.0,2.0,116.0,116.0,0.2,1.6,10.0,25.0,24.0,30.0,3.0,20.0,58.0,28.0,3.0,4.0,34.0,104.0,100.0,-0.5056285262107849,-0.16091759502887726,0.5306172621654597,-5.504372511074597
869.0,2.0,116.0,116.0,0.2,1.6,10.0,25.0,24.0,30.0,5.0,20.0,58.0,28.0,3.0,4.0,34.0,104.0,100.0,-0.6362496018409729,-0.09746827185153961,0.6436719815717646,-3.826707897694237
869.0,2.0,116.0,116.0,0.2,1.6,10.0,25.0,24.0,30.0,7.0,20.0,58.0,28.0,3.0,4.0,34.0,104.0,100.0,-0.6910645365715027,-0.002014333149418235,0.6910674722809796,-3.2095909654313743
869.0,2.0,116.0,116.0,0.2,1.6,10.0,25.0,24.0,30.0,9.0,20.0,58.0,28.0,3.0,4.0,34.0,104.0,100.0,-0.705305814743042,0.09387031197547913,0.7115250717864551,-2.9561958442244745
869.0,2.0,116.0,116.0,0.2,1.6,10.0,25.0,24.0,30.0,3.0,20.0,58.0,28.0,3.0,6.0,34.0,104.0,100.0,-0.48829132318496704,-0.12070736289024353,0.502989745177417,-5.968817382708885
